path	action	new_url	reason
index	redirect	/api/	Mintlify site landing — superseded by the new site home + API tab landing
quickstart	port	/api/quickstart/	
guides/key-concepts	port	/api/key-concepts/	
guides/authentication	redirect	/api/authentication/	Short teaser duplicating api-reference/authentication (same title) — full page ported instead
guides/get	port	/api/get-single-entities/	
guides/filtering	port	/api/filtering/	
guides/searching	port	/api/searching/	
guides/semantic-search	port	/api/semantic-search/	
guides/sort	port	/api/sorting/	
guides/page-through-results	port	/api/paging/	
guides/grouping	port	/api/grouping/	
guides/selecting-fields	port	/api/selecting-fields/	
guides/autocomplete	port	/api/autocomplete/	
guides/aboutness	port	/api/tag-aboutness/	
guides/collections	port	/api/collections/	
guides/curation-authors	port	/api/author-curation/	
guides/llm-quick-reference	port	/api/llm-quick-reference/	
guides/deprecations	port	/api/deprecations/	
guides/recipes	port	/learn/quick-api-recipes/	
guides/recipe-oa-trends	port	/learn/track-open-access-trends/	
guides/recipe-find-collaborators	port	/learn/find-collaborators/	
guides/recipe-funder-portfolio	port	/learn/analyze-a-funders-portfolio/	
guides/recipe-cited-journals	port	/learn/find-most-cited-journals/	
guides/recipe-sdg-landscape	port	/learn/map-an-sdg-research-landscape/	
guides/recipe-audit-author-profile-works	port	/learn/audit-an-author-profiles-works/	
download/overview	port	/docs/downloading-openalex-data/	
download/download-to-machine	port	/docs/download-to-your-machine/	
download/snapshot-format	port	/docs/snapshot-data-format/	
download/changefiles	port	/docs/download-changefiles/	
download/full-text-pdfs	port	/docs/full-text-pdfs/	
download/openalex-cli	port	/docs/openalex-cli/	
api-reference/introduction	port	/api/introduction/	
api-reference/authentication	port	/api/authentication/	
api-reference/errors	port	/api/errors/	
api-reference/works	port	/api/works/	
api-reference/authors	port	/api/authors/	
api-reference/sources	port	/api/sources/	
api-reference/institutions	port	/api/institutions/	
api-reference/topics	port	/api/topics/	
api-reference/publishers	port	/api/publishers/	
api-reference/funders	port	/api/funders/	
api-reference/awards	port	/api/awards/	
api-reference/keywords	port	/api/keywords/	
api-reference/concepts	port	/api/concepts/	
api-reference/continents	port	/api/continents/	
api-reference/countries	port	/api/countries/	
api-reference/domains	port	/api/domains/	
api-reference/fields	port	/api/fields/	
api-reference/subfields	port	/api/subfields/	
api-reference/sdgs	port	/api/sdgs/	
api-reference/licenses	port	/api/licenses/	
api-reference/languages	port	/api/languages/	
api-reference/indexes	port	/api/indexes/	
api-reference/institution-types	port	/api/institution-types/	
api-reference/source-types	port	/api/source-types/	
api-reference/work-types	port	/api/work-types/	
